code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
002392,北京利尔,-5.854,3.86,4.03,4.08,3.84,4.1,27696807.0,3.66334,110003644.0,28.466,1.373,459529.463854,291837.01191
002391,长青股份,10.039,14.03,13.66,14.03,13.43,12.75,20398637.0,8.58304,284196392.0,15.789,1.548,504359.11054,333439.931912
002390,信邦制药,-4.251,5.18,5.3,5.39,5.16,5.41,28660354.0,1.7952,151070345.0,27.263,1.322,863624.420498,826986.052578
002389,航天彩虹,-3.615,14.13,14.39,14.62,14.12,14.66,14707384.0,2.5081800000000003,211006706.0,32.86,2.212,1336786.573905,828551.382066
002388,新亚制程,-2.995,5.83,5.9,6.19,5.75,6.01,15172939.0,3.79703,90963691.0,41.643,2.584,293695.9278,232966.8
002387,维信诺,-6.487,13.55,13.98,14.67,13.51,14.49,30329617.0,2.84035,426353849.0,414.373,1.2,1853183.42733,1446885.461895
002386,天原集团,-5.706,6.28,6.6,6.64,6.26,6.66,19815461.0,2.95048,128585813.0,41.099,0.987,490378.206676,421765.843736
002385,大北农,0.737,5.47,5.18,5.9,5.06,5.43,177181244.0,6.36524,996243702.0,17.645,2.313,2320917.644155,1522616.186323
002384,东山精密,-1.85,16.45,16.27,17.21,15.62,16.76,59190641.0,5.08942,989381936.0,30.463,3.181,2642811.724665,1913158.403415
002383,合众思壮,0.406,14.83,14.26,15.75,14.1,14.77,39439534.0,8.11317,595953403.0,45.241,2.798,1105069.586872,720912.145724
002382,蓝帆医疗,-6.087,15.12,16.0,16.0,15.1,16.1,6217850.0,1.28002,96742666.0,36.878,1.9580000000000002,1457615.002032,734471.976168
002381,双箭股份,2.765,9.29,9.06,9.55,8.6,9.04,17731264.0,5.3322,163293796.0,25.108,2.327,398076.5,308922.11652
002380,科远股份,-1.709,13.8,14.0,14.48,13.8,14.04,9273830.0,6.4692,131356818.0,30.0,1.584,331188.47562,197828.00802
002379,宏创控股,-7.595,3.65,3.87,3.88,3.61,3.95,17601831.0,1.90083,66160139.0,85.681,2.693,338136.0,337992.264095
002378,章源钨业,-8.983,6.89,7.4,7.48,6.81,7.57,42580147.0,4.61214,305404544.0,229.667,3.227,636751.363404,636097.1331
002377,国创高新,-8.468,5.08,5.51,5.51,5.07,5.55,20790874.0,4.27919,110420520.0,63.5,0.929,465493.202108,246816.833772
002376,新北洋,-3.804,17.7,18.12,18.24,17.58,18.4,15371595.0,2.67239,275300471.0,39.333,3.827,1178310.95154,1018103.70264
002375,亚厦股份,-3.303,6.44,6.55,6.66,6.43,6.66,16275864.0,1.30969,106851324.0,23.852,1.112,862957.744712,800317.423192
002374,丽鹏股份,-1.326,3.72,3.78,3.89,3.53,3.77,93238287.0,11.63622,344928308.0,37.2,1.018,326403.018096,298074.914916
002373,千方科技,5.714,19.98,17.8,20.79,17.55,18.9,71791113.0,8.55382,1396461939.0,60.509,3.823,2970278.29845,1676896.267158
002372,伟星新材,-5.386,16.16,17.01,17.04,16.14,17.08,9799158.0,0.83642,162190744.0,19.47,6.39,2118458.82384,1893245.683568
002371,北方华创,7.153,72.65,67.0,74.58,63.5,67.8,27715231.0,7.7129,2004820046.0,264.856,9.608,3327401.76258,2610577.718215
002370,亚太药业,-4.909,12.01,12.56,12.85,11.96,12.63,30981636.0,7.60779,385926402.0,31.605,2.607,644329.841656,489089.776651
002369,卓翼科技,-1.527,10.32,10.03,10.97,9.9,10.48,78771000.0,19.69875,817312099.0,258.0,2.811,598530.798528,412674.28176
002368,太极股份,7.362,35.0,31.78,35.86,31.1,32.6,49032700.0,12.24726,1703520788.0,49.808,5.587,1453302.361,1401247.722
002367,康力电梯,0.0,8.9,8.59,9.28,8.43,8.9,49848932.0,9.50871,443859372.0,21.766,2.205,709910.89143,466578.07937
002366,台海核电,-7.19,13.94,14.0,14.66,13.85,15.02,23767061.0,4.85964,338503596.0,11.915,4.038,1208677.9459,681764.157116
002365,永安药业,-5.694,12.09,12.48,12.65,12.06,12.82,13816034.0,5.72988,170240781.0,17.028,2.302,356271.1425,291516.992481
002364,中恒电气,-3.8,11.14,11.3,11.54,11.14,11.58,12267893.0,2.38054,138589228.0,101.273,2.757,627811.36544,574089.142102
002363,隆基机械,-9.957,6.33,6.7,6.86,6.33,7.03,19037404.0,4.57896,125486700.0,45.214,1.146,263391.490533,263174.967186
002362,汉王科技,0.371,18.92,18.4,19.66,17.2,18.85,17401702.0,9.71248,325555785.0,93.663,4.753,410623.204464,338986.756592
002361,神剑股份,-4.516,4.44,4.58,4.64,4.44,4.65,20436325.0,3.31238,92265375.0,31.714,2.038,371882.907504,273933.756924
002360,同德化工,-4.127,6.04,6.18,6.28,6.03,6.3,7897481.0,2.66285,48521725.0,24.16,2.197,236473.6104,179133.998068
